designator,quantity,value,pack,mpn,mount_type
C1,1,0.1uF,C_Disc_D5.0mm_W2.5mm_P2.50mm,,tht
"H1, H2, H3, H4",4,MountingHole,MountingHole_3.2mm_M3,,tht
J1,1,Raspberry PI5,PinHeader_2x20_P2.54mm_Vertical,,tht
J10,1,Amperimetro+,PinHeader_1x03_P2.54mm_Vertical,,tht
J11,1,Amperimetro-,PinHeader_1x03_P2.54mm_Vertical,,tht
J2,1,Fonte dc_VB,PinHeader_1x02_P2.54mm_Vertical,,tht
J3,1,Fonte 12V,PinHeader_1x02_P2.54mm_Vertical,,tht
J4,1,Voltimetro+,PinHeader_1x03_P2.54mm_Vertical,,tht
"J5, J6, J7, J8",4,Ext_OUT_PI,PinHeader_1x20_P2.54mm_Vertical,,tht
J9,1,Voltimetro-,PinHeader_1x03_P2.54mm_Vertical,,tht
"K1, K2, K3",3,3572-1220-123,RELAY8_3572-1220-053_COM,,tht
"K4, K5, K6, K7, K8",5,3570-1331-123,SIP_3570-1331_COM,,tht
MES1,1,Voltmeter_DC,PinHeader_1x02_P2.54mm_Vertical,,tht
MES3,1,Ammeter_DC,PinHeader_1x02_P2.54mm_Vertical,,tht
R1,1,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,,tht
R2,1,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,,tht
R3,1,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,,tht
U1,1,74HC595N_112,DIP-16_W10.16mm,"74HC595N,112",tht
"U2, U3",2,ULN2003,DIP-16_W10.16mm,,tht
