Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,0.1uF,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry PI5,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Fonte dc,
J3,PinSocket_1x02_P2.54mm_Vertical,1,Fonte 12V,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Fonte 5V,
"K1, K2, K3",RELAY8_3572-1220-053_COM,3,3572-1220-123,
"K4, K5, K6, K7, K8",SIP_3570-1331_COM,5,3570-1331-123,
MES1,PinHeader_1x02_P2.54mm_Vertical,1,Voltmeter_DC,
MES3,PinHeader_1x02_P2.54mm_Vertical,1,Ammeter_DC,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,R1,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,R2,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,R3,
"U1, U4",DIP-16_W10.16mm,2,74HC595N_112,"74HC595N,112"
"U2, U3",DIP-16_W10.16mm,2,ULN2003,
