pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
140.82,-122.94,0.0,top,C1,,CP_Radial_D6.3mm_P2.50mm,10uF,tht,True
130.387621,-122.93,0.0,top,C2,,CP_Radial_D6.3mm_P2.50mm,100uF,tht,True
125.29,-54.63,0.0,top,C3,,C_Disc_D5.0mm_W2.5mm_P2.50mm,0.1uF,tht,True
110.58,-54.39,180.0,top,C4,,C_Disc_D5.0mm_W2.5mm_P2.50mm,0.1uF,tht,True
151.46,-121.72,-90.0,top,C6,,CP_Radial_D5.0mm_P2.00mm,10uF,tht,True
152.46,-82.88,0.0,top,D1,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4007,tht,True
152.19,-112.57,180.0,top,D2,,Diode_Bridge_19.0x3.5x10.0mm_P5.0mm,B250C2300-1500A,tht,True
168.31,-57.06,-90.0,top,F1,,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,Fuse,tht,True
171.22,-45.34,0.0,top,H1,,MountingHole_3.2mm_M3,MountingHole,tht,False
171.26,-125.35,0.0,top,H2,,MountingHole_3.2mm_M3,MountingHole,tht,False
85.52,-121.55,0.0,top,H3,,MountingHole_3.2mm_M3,MountingHole,tht,False
85.48,-47.87,0.0,top,H4,,MountingHole_3.2mm_M3,MountingHole,tht,False
135.38,-47.86,-90.0,top,J2,,PinSocket_1x06_P2.54mm_Vertical,PI_config,tht,True
115.01,-47.85,-90.0,top,J3,,PinSocket_1x06_P2.54mm_Vertical,Power Sources,tht,True
155.91,-47.82,-90.0,top,J4,,PinSocket_1x06_P2.54mm_Vertical,Signals,tht,True
165.23,-88.95,0.0,top,K1,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
102.4988,-126.72,90.0,top,K10,,SIP_3570-1331_COM,3570-1331-123,tht,True
109.2392,-126.72,90.0,top,K11,,SIP_3570-1331_COM,3570-1331-123,tht,True
115.9796,-126.72,90.0,top,K12,,SIP_3570-1331_COM,3570-1331-123,tht,True
122.72,-126.72,90.0,top,K13,,SIP_3570-1331_COM,3570-1331-123,tht,True
141.68,-88.9,0.0,top,K2,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
153.61,-88.94,0.0,top,K3,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
95.7584,-126.72,90.0,top,K4,,SIP_3570-1331_COM,3570-1331-123,tht,True
128.76,-88.9,0.0,top,K5,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
91.46,-88.82,0.0,top,K6,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
103.37,-88.87,0.0,top,K7,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
151.9,-60.47,0.0,top,K8,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
116.18,-88.9,0.0,top,K9,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
84.74,-88.37,-90.0,top,R1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1K,tht,True
99.37,-81.94,0.0,top,R2,,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,4.7K,tht,True
160.45,-127.16,90.0,top,R3,,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1K,tht,True
100.91,-59.15,0.0,top,U1,"74HC595N,112",DIP-16_W10.16mm,74HC595N_112,tht,True
84.14,-59.09,0.0,top,U2,,DIP-16_W10.16mm,ULN2003,tht,True
118.17,-58.91,0.0,top,U3,"74HC595N,112",DIP-16_W10.16mm,74HC595N_112,tht,True
135.67,-59.03,0.0,top,U4,,DIP-16_W10.16mm,ULN2003,tht,True
