pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
133.15,-64.4,0.0,top,C1,,C_Disc_D5.0mm_W2.5mm_P2.50mm,0.1uF,tht,True
133.15,-68.45,0.0,top,C2,,C_Disc_D5.0mm_W2.5mm_P2.50mm,0.1uF,tht,True
210.95,-35.6,0.0,top,H1,,MountingHole_3.2mm_M3,MountingHole,tht,False
125.7,-35.5,0.0,top,H2,,MountingHole_3.2mm_M3,MountingHole,tht,False
126.05,-115.75,0.0,top,H3,,MountingHole_3.2mm_M3,MountingHole,tht,False
210.7,-115.8,0.0,top,H4,,MountingHole_3.2mm_M3,MountingHole,tht,False
190.24,-106.56,-90.0,top,J1,,PinHeader_2x20_P2.54mm_Vertical,Raspberry PI5,tht,True
200.12,-80.85,90.0,top,J2,,PinHeader_1x02_P2.54mm_Vertical,Fonte dc,tht,True
200.12,-76.25,90.0,top,J3,,PinHeader_1x02_P2.54mm_Vertical,Fonte 12V,tht,True
200.12,-71.65,90.0,top,J4,,PinHeader_1x02_P2.54mm_Vertical,Fonte 5V,tht,True
141.97,-113.9,90.0,top,J5,,PinHeader_1x20_P2.54mm_Vertical,Ext_OUT_PI,tht,True
141.94,-117.85,90.0,top,J6,,PinHeader_1x20_P2.54mm_Vertical,Ext_OUT_PI,tht,True
190.26,-101.8,-90.0,top,J7,,PinHeader_1x20_P2.54mm_Vertical,Ext_OUT_PI,tht,True
190.25,-97.95,-90.0,top,J8,,PinHeader_1x20_P2.54mm_Vertical,Ext_OUT_PI,tht,True
176.78,-43.08,0.0,top,K1,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
187.3304,-43.08,0.0,top,K2,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
197.8808,-43.08,0.0,top,K3,,RELAY8_3572-1220-053_COM,3572-1220-123,tht,True
127.76,-58.28,90.0,top,K4,,SIP_3570-1331_COM,3570-1331-123,tht,True
136.81,-58.32,90.0,top,K5,,SIP_3570-1331_COM,3570-1331-123,tht,True
147.23,-43.06,-90.0,top,K6,,SIP_3570-1331_COM,3570-1331-123,tht,True
158.68,-43.08,-90.0,top,K7,,SIP_3570-1331_COM,3570-1331-123,tht,True
167.62,-58.26,90.0,top,K8,,SIP_3570-1331_COM,3570-1331-123,tht,True
200.12,-90.15,90.0,top,MES1,,PinHeader_1x02_P2.54mm_Vertical,Voltmeter_DC,tht,True
200.12,-85.5,90.0,top,MES3,,PinHeader_1x02_P2.54mm_Vertical,Ammeter_DC,tht,True
183.42,-88.43,90.0,top,R1,,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,R1,tht,True
187.47,-88.43,90.0,top,R2,,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,R2,tht,True
191.52,-88.43,90.0,top,R3,,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,R3,tht,True
125.55,-73.78,0.0,top,U1,"74HC595N,112",DIP-16_W10.16mm,74HC595N_112,tht,True
138.9,-73.78,0.0,top,U2,,DIP-16_W10.16mm,ULN2003,tht,True
152.25,-73.78,0.0,top,U3,,DIP-16_W10.16mm,ULN2003,tht,True
165.6,-73.78,0.0,top,U4,"74HC595N,112",DIP-16_W10.16mm,74HC595N_112,tht,True
